Incident_ID,Timestamp,Service,Incident_Type,Description,Root_Cause,Resolution,Time_To_Resolve_Mins
INC-1012,2025-07-08 02:13:54,Payment-Gateway,Database Error,Disk space critical: > 95% utilized on /var/log.,Deadlock in concurrent transaction processing.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",203
INC-1410,2025-07-08 04:08:54,User-API,Database Error,Jenkins build pipeline failing on integration tests.,Long-running queries locked database tables.,Implemented exponential backoff and contacted vendor for quota increase.,230
INC-1168,2025-07-08 20:03:54,Analytics-Worker,Security Alert,DNS resolution failures in internal VPC.,Deadlock in concurrent transaction processing.,Renewed and deployed updated TLS certificates via Let's Encrypt.,6
INC-1343,2025-07-09 05:18:54,Redis-Cache,Network Timeout,Connections refused by the primary database.,Deadlock in concurrent transaction processing.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",196
INC-1482,2025-07-09 17:56:54,Payment-Gateway,Resource Exhaustion,High number of 5xx errors from backend services.,Expired TLS certificate on internal load balancer.,Scaled up replicas from 3 to 10 to handle the load.,183
INC-1080,2025-07-09 22:25:54,Inventory-DB,Database Error,High CPU utilization detected on primary nodes.,Long-running queries locked database tables.,Renewed and deployed updated TLS certificates via Let's Encrypt.,51
INC-1021,2025-07-10 02:24:54,Redis-Cache,Deployment Failure,Pods are stuck in CrashLoopBackOff state.,Misconfigured security group blocked inter-node traffic.,Cleared docker builder cache and expanded runner EBS volume.,151
INC-1262,2025-07-10 03:52:54,Kubernetes Cluster,Security Alert,Redis cache eviction rate spiked.,"Log rotation failed, filling up disk space.","Cleared old logs, freed 20GB, and fixed logrotate cron job.",148
INC-1191,2025-07-12 01:20:54,Kafka-Cluster,Network Timeout,Disk space critical: > 95% utilized on /var/log.,Misconfigured security group blocked inter-node traffic.,Renewed and deployed updated TLS certificates via Let's Encrypt.,29
INC-1218,2025-07-12 07:12:54,Kubernetes Cluster,Security Alert,DNS resolution failures in internal VPC.,Expired TLS certificate on internal load balancer.,Cleared docker builder cache and expanded runner EBS volume.,205
INC-1151,2025-07-13 01:55:54,Kafka-Cluster,Network Timeout,Redis cache eviction rate spiked.,Memory limits set too low in Kubernetes deployment manifests.,Restarted kubelet service on affected worker nodes.,239
INC-1341,2025-07-13 02:54:54,Payment-Gateway,Resource Exhaustion,Redis cache eviction rate spiked.,Recent deployment introduced a memory leak.,Killed the blocking database queries and added missing indexes.,133
INC-1288,2025-07-14 11:31:54,Auth-Service,Security Alert,Connections refused by the primary database.,Misconfigured security group blocked inter-node traffic.,Cleared docker builder cache and expanded runner EBS volume.,14
INC-1215,2025-07-15 17:29:54,Frontend-UI,Security Alert,High CPU utilization detected on primary nodes.,Upstream API dependency rate-limited our service requests.,Rebooted unresponsive nodes and cordoned them for investigation.,166
INC-1004,2025-07-16 00:22:54,Auth-Service,Performance Degradation,Jenkins build pipeline failing on integration tests.,Missing index on newly deployed database table causing full table scans.,Killed the blocking database queries and added missing indexes.,177
INC-1489,2025-07-16 19:31:54,Kubernetes Cluster,Network Timeout,Pods are stuck in CrashLoopBackOff state.,CI/CD runner ran out of disk space during docker build.,Rolled back to the previous stable release and initiated RCA.,119
INC-1061,2025-07-17 04:59:54,Inventory-DB,Deployment Failure,API response times exceeded 2000ms threshold.,Memory limits set too low in Kubernetes deployment manifests.,Restarted kubelet service on affected worker nodes.,199
INC-1320,2025-07-17 08:05:54,Kafka-Cluster,Deployment Failure,Pods are stuck in CrashLoopBackOff state.,Network partition between primary and secondary availability zones.,Killed the blocking database queries and added missing indexes.,120
INC-1493,2025-07-17 22:15:54,Payment-Gateway,Security Alert,Redis cache eviction rate spiked.,Misconfigured security group blocked inter-node traffic.,Flushed Redis cache and restarted worker instances.,211
INC-1005,2025-07-19 01:03:54,Kubernetes Cluster,Service Outage,Connections refused by the primary database.,Recent deployment introduced a memory leak.,Rolled back to the previous stable release and initiated RCA.,9
INC-1078,2025-07-19 07:08:54,Payment-Gateway,Resource Exhaustion,SSL Certificate expiration warning.,"Log rotation failed, filling up disk space.",Corrected the AWS security group rules to allow port 443.,46
INC-1302,2025-07-20 06:13:54,User-API,Deployment Failure,High CPU utilization detected on primary nodes.,Surge in unexpected traffic overwhelmed the service capacity.,Killed the blocking database queries and added missing indexes.,158
INC-1242,2025-07-20 10:58:54,Inventory-DB,Service Outage,Memory leak causing OOM (Out of Memory) kills.,Misconfigured security group blocked inter-node traffic.,Increased pod resource limits (memory) in Helm chart and redeployed.,221
INC-1238,2025-07-20 16:27:54,Inventory-DB,Service Outage,Pods are stuck in CrashLoopBackOff state.,Surge in unexpected traffic overwhelmed the service capacity.,Increased pod resource limits (memory) in Helm chart and redeployed.,199
INC-1121,2025-07-21 14:53:54,Payment-Gateway,Performance Degradation,502 Bad Gateway errors observed from load balancer.,Recent deployment introduced a memory leak.,Restarted kubelet service on affected worker nodes.,216
INC-1437,2025-07-21 21:05:54,User-API,Resource Exhaustion,Memory leak causing OOM (Out of Memory) kills.,Missing index on newly deployed database table causing full table scans.,Killed the blocking database queries and added missing indexes.,156
INC-1379,2025-07-22 22:10:54,Redis-Cache,Resource Exhaustion,502 Bad Gateway errors observed from load balancer.,CI/CD runner ran out of disk space during docker build.,Restarted kubelet service on affected worker nodes.,174
INC-1286,2025-07-23 20:32:54,Frontend-UI,Database Error,Kafka consumer lag building up beyond alerting threshold.,Surge in unexpected traffic overwhelmed the service capacity.,Restarted kubelet service on affected worker nodes.,111
INC-1157,2025-07-25 18:00:54,Auth-Service,Performance Degradation,Pods are stuck in CrashLoopBackOff state.,Upstream API dependency rate-limited our service requests.,Rolled back to the previous stable release and initiated RCA.,33
INC-1152,2025-07-26 20:38:54,Payment-Gateway,Service Outage,Memory leak causing OOM (Out of Memory) kills.,Upstream API dependency rate-limited our service requests.,Increased pod resource limits (memory) in Helm chart and redeployed.,118
INC-1074,2025-07-26 22:08:54,User-API,Deployment Failure,API response times exceeded 2000ms threshold.,"Log rotation failed, filling up disk space.",Rebooted unresponsive nodes and cordoned them for investigation.,228
INC-1498,2025-07-27 11:26:54,Redis-Cache,Database Error,Database replication lag exceeded 5 minutes.,Misconfigured security group blocked inter-node traffic.,Corrected the AWS security group rules to allow port 443.,71
INC-1081,2025-07-27 23:45:54,Auth-Service,Deployment Failure,Database replication lag exceeded 5 minutes.,CI/CD runner ran out of disk space during docker build.,Cleared docker builder cache and expanded runner EBS volume.,164
INC-1229,2025-07-28 14:21:54,Inventory-DB,Network Timeout,High CPU utilization detected on primary nodes.,Long-running queries locked database tables.,Corrected the AWS security group rules to allow port 443.,226
INC-1199,2025-07-29 22:04:54,User-API,Database Error,API response times exceeded 2000ms threshold.,"Log rotation failed, filling up disk space.",Implemented exponential backoff and contacted vendor for quota increase.,48
INC-1163,2025-07-29 23:01:54,User-API,Deployment Failure,High CPU utilization detected on primary nodes.,CI/CD runner ran out of disk space during docker build.,Increased pod resource limits (memory) in Helm chart and redeployed.,106
INC-1354,2025-07-30 09:46:54,Analytics-Worker,Network Timeout,DNS resolution failures in internal VPC.,Deadlock in concurrent transaction processing.,Killed the blocking database queries and added missing indexes.,70
INC-1425,2025-08-01 07:38:54,User-API,Resource Exhaustion,Memory leak causing OOM (Out of Memory) kills.,Recent deployment introduced a memory leak.,Killed the blocking database queries and added missing indexes.,78
INC-1317,2025-08-01 09:51:54,CI/CD Pipeline,Deployment Failure,API response times exceeded 2000ms threshold.,Memory limits set too low in Kubernetes deployment manifests.,Corrected the AWS security group rules to allow port 443.,177
INC-1370,2025-08-01 19:18:54,Analytics-Worker,Service Outage,API response times exceeded 2000ms threshold.,Deadlock in concurrent transaction processing.,Killed the blocking database queries and added missing indexes.,124
INC-1321,2025-08-02 13:06:54,Redis-Cache,Service Outage,Redis cache eviction rate spiked.,Surge in unexpected traffic overwhelmed the service capacity.,Increased pod resource limits (memory) in Helm chart and redeployed.,62
INC-1028,2025-08-03 11:43:54,Kafka-Cluster,Service Outage,API response times exceeded 2000ms threshold.,Deadlock in concurrent transaction processing.,Cleared docker builder cache and expanded runner EBS volume.,29
INC-1277,2025-08-03 23:36:54,User-API,Network Timeout,Database replication lag exceeded 5 minutes.,Misconfigured security group blocked inter-node traffic.,Rolled back to the previous stable release and initiated RCA.,52
INC-1355,2025-08-04 00:48:54,Payment-Gateway,Service Outage,API response times exceeded 2000ms threshold.,CI/CD runner ran out of disk space during docker build.,Cleared docker builder cache and expanded runner EBS volume.,196
INC-1307,2025-08-05 19:47:54,Analytics-Worker,Deployment Failure,Database replication lag exceeded 5 minutes.,Surge in unexpected traffic overwhelmed the service capacity.,Corrected the AWS security group rules to allow port 443.,97
INC-1048,2025-08-06 23:20:54,Kubernetes Cluster,Deployment Failure,502 Bad Gateway errors observed from load balancer.,Deadlock in concurrent transaction processing.,Rebooted unresponsive nodes and cordoned them for investigation.,26
INC-1147,2025-08-07 12:03:54,Payment-Gateway,Database Error,Redis cache eviction rate spiked.,Memory limits set too low in Kubernetes deployment manifests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,45
INC-1079,2025-08-10 09:35:54,Payment-Gateway,Deployment Failure,Kafka consumer lag building up beyond alerting threshold.,Long-running queries locked database tables.,Restarted kubelet service on affected worker nodes.,193
INC-1128,2025-08-13 05:20:54,User-API,Deployment Failure,Memory leak causing OOM (Out of Memory) kills.,Surge in unexpected traffic overwhelmed the service capacity.,Scaled up replicas from 3 to 10 to handle the load.,130
INC-1143,2025-08-13 18:05:54,CI/CD Pipeline,Resource Exhaustion,Kafka consumer lag building up beyond alerting threshold.,Surge in unexpected traffic overwhelmed the service capacity.,Corrected the AWS security group rules to allow port 443.,99
INC-1299,2025-08-15 18:48:54,CI/CD Pipeline,Database Error,Connections refused by the primary database.,Recent deployment introduced a memory leak.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",239
INC-1450,2025-08-17 21:53:54,Inventory-DB,Resource Exhaustion,Connections refused by the primary database.,Surge in unexpected traffic overwhelmed the service capacity.,Rebooted unresponsive nodes and cordoned them for investigation.,205
INC-1186,2025-08-17 23:25:54,Frontend-UI,Performance Degradation,Jenkins build pipeline failing on integration tests.,Deadlock in concurrent transaction processing.,Increased pod resource limits (memory) in Helm chart and redeployed.,74
INC-1124,2025-08-18 19:14:54,Payment-Gateway,Resource Exhaustion,Memory leak causing OOM (Out of Memory) kills.,Upstream API dependency rate-limited our service requests.,Cleared docker builder cache and expanded runner EBS volume.,103
INC-1460,2025-08-19 09:01:54,CI/CD Pipeline,Performance Degradation,Jenkins build pipeline failing on integration tests.,"Log rotation failed, filling up disk space.",Rebooted unresponsive nodes and cordoned them for investigation.,121
INC-1334,2025-08-19 11:19:54,Auth-Service,Performance Degradation,High number of 5xx errors from backend services.,Network partition between primary and secondary availability zones.,Implemented exponential backoff and contacted vendor for quota increase.,162
INC-1414,2025-08-19 15:06:54,Analytics-Worker,Resource Exhaustion,Kafka consumer lag building up beyond alerting threshold.,Surge in unexpected traffic overwhelmed the service capacity.,Flushed Redis cache and restarted worker instances.,179
INC-1098,2025-08-20 07:42:54,CI/CD Pipeline,Resource Exhaustion,Connections refused by the primary database.,"Log rotation failed, filling up disk space.","Cleared old logs, freed 20GB, and fixed logrotate cron job.",133
INC-1287,2025-08-20 19:51:54,Analytics-Worker,Service Outage,Redis cache eviction rate spiked.,Missing index on newly deployed database table causing full table scans.,Restarted kubelet service on affected worker nodes.,130
INC-1477,2025-08-21 14:19:54,Kafka-Cluster,Service Outage,Connections refused by the primary database.,Recent deployment introduced a memory leak.,Restarted kubelet service on affected worker nodes.,23
INC-1466,2025-08-21 18:39:54,Payment-Gateway,Security Alert,Pods are stuck in CrashLoopBackOff state.,Upstream API dependency rate-limited our service requests.,Increased pod resource limits (memory) in Helm chart and redeployed.,201
INC-1338,2025-08-21 20:00:54,CI/CD Pipeline,Resource Exhaustion,Database replication lag exceeded 5 minutes.,Misconfigured security group blocked inter-node traffic.,Rolled back to the previous stable release and initiated RCA.,143
INC-1134,2025-08-23 08:01:54,Kubernetes Cluster,Service Outage,Redis cache eviction rate spiked.,Deadlock in concurrent transaction processing.,Renewed and deployed updated TLS certificates via Let's Encrypt.,91
INC-1045,2025-08-24 07:58:54,Auth-Service,Network Timeout,API response times exceeded 2000ms threshold.,Missing index on newly deployed database table causing full table scans.,Implemented exponential backoff and contacted vendor for quota increase.,150
INC-1183,2025-08-24 21:07:54,Auth-Service,Database Error,Redis cache eviction rate spiked.,Network partition between primary and secondary availability zones.,Implemented exponential backoff and contacted vendor for quota increase.,24
INC-1052,2025-08-24 21:19:54,Kubernetes Cluster,Network Timeout,Disk space critical: > 95% utilized on /var/log.,Network partition between primary and secondary availability zones.,Rolled back to the previous stable release and initiated RCA.,66
INC-1201,2025-08-25 03:49:54,Kafka-Cluster,Deployment Failure,DNS resolution failures in internal VPC.,Network partition between primary and secondary availability zones.,Rebooted unresponsive nodes and cordoned them for investigation.,223
INC-1011,2025-08-25 06:10:54,CI/CD Pipeline,Security Alert,Kafka consumer lag building up beyond alerting threshold.,Misconfigured security group blocked inter-node traffic.,Killed the blocking database queries and added missing indexes.,13
INC-1417,2025-08-25 14:19:54,Frontend-UI,Resource Exhaustion,API response times exceeded 2000ms threshold.,Long-running queries locked database tables.,Rebooted unresponsive nodes and cordoned them for investigation.,94
INC-1204,2025-08-25 14:44:54,CI/CD Pipeline,Resource Exhaustion,Redis cache eviction rate spiked.,Long-running queries locked database tables.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",92
INC-1108,2025-08-26 01:38:54,Redis-Cache,Service Outage,Jenkins build pipeline failing on integration tests.,Missing index on newly deployed database table causing full table scans.,Increased pod resource limits (memory) in Helm chart and redeployed.,187
INC-1408,2025-08-26 18:41:54,Kafka-Cluster,Resource Exhaustion,API response times exceeded 2000ms threshold.,"Log rotation failed, filling up disk space.",Rolled back to the previous stable release and initiated RCA.,224
INC-1403,2025-08-26 20:48:54,Redis-Cache,Security Alert,Disk space critical: > 95% utilized on /var/log.,CI/CD runner ran out of disk space during docker build.,Rebooted unresponsive nodes and cordoned them for investigation.,137
INC-1231,2025-08-26 20:54:54,Inventory-DB,Performance Degradation,High number of 5xx errors from backend services.,Surge in unexpected traffic overwhelmed the service capacity.,Killed the blocking database queries and added missing indexes.,56
INC-1333,2025-08-27 04:23:54,Auth-Service,Database Error,High CPU utilization detected on primary nodes.,Missing index on newly deployed database table causing full table scans.,Rebooted unresponsive nodes and cordoned them for investigation.,144
INC-1187,2025-08-27 04:48:54,Kubernetes Cluster,Resource Exhaustion,Disk space critical: > 95% utilized on /var/log.,Recent deployment introduced a memory leak.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",184
INC-1185,2025-08-30 15:54:54,Frontend-UI,Resource Exhaustion,API response times exceeded 2000ms threshold.,Memory limits set too low in Kubernetes deployment manifests.,Flushed Redis cache and restarted worker instances.,231
INC-1380,2025-08-30 22:46:54,Frontend-UI,Deployment Failure,Pods are stuck in CrashLoopBackOff state.,Long-running queries locked database tables.,Implemented exponential backoff and contacted vendor for quota increase.,173
INC-1154,2025-08-31 05:03:54,Frontend-UI,Database Error,502 Bad Gateway errors observed from load balancer.,Misconfigured security group blocked inter-node traffic.,Killed the blocking database queries and added missing indexes.,232
INC-1451,2025-08-31 06:09:54,Redis-Cache,Network Timeout,Pods are stuck in CrashLoopBackOff state.,Missing index on newly deployed database table causing full table scans.,Rolled back to the previous stable release and initiated RCA.,166
INC-1367,2025-09-01 00:46:54,CI/CD Pipeline,Security Alert,Jenkins build pipeline failing on integration tests.,Long-running queries locked database tables.,Rolled back to the previous stable release and initiated RCA.,97
INC-1276,2025-09-01 10:31:54,Analytics-Worker,Network Timeout,Pods are stuck in CrashLoopBackOff state.,Long-running queries locked database tables.,Cleared docker builder cache and expanded runner EBS volume.,179
INC-1432,2025-09-02 12:08:54,Kubernetes Cluster,Security Alert,502 Bad Gateway errors observed from load balancer.,Misconfigured security group blocked inter-node traffic.,Rebooted unresponsive nodes and cordoned them for investigation.,78
INC-1232,2025-09-03 01:06:54,Auth-Service,Database Error,Kafka consumer lag building up beyond alerting threshold.,Recent deployment introduced a memory leak.,Corrected the AWS security group rules to allow port 443.,40
INC-1359,2025-09-03 10:02:54,Payment-Gateway,Service Outage,Pods are stuck in CrashLoopBackOff state.,Missing index on newly deployed database table causing full table scans.,Rolled back to the previous stable release and initiated RCA.,213
INC-1364,2025-09-03 15:03:54,Auth-Service,Performance Degradation,High CPU utilization detected on primary nodes.,Memory limits set too low in Kubernetes deployment manifests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,60
INC-1345,2025-09-04 12:33:54,Inventory-DB,Database Error,High number of 5xx errors from backend services.,Missing index on newly deployed database table causing full table scans.,Cleared docker builder cache and expanded runner EBS volume.,15
INC-1469,2025-09-05 09:42:54,Redis-Cache,Resource Exhaustion,API response times exceeded 2000ms threshold.,Long-running queries locked database tables.,Flushed Redis cache and restarted worker instances.,214
INC-1323,2025-09-05 18:18:54,Analytics-Worker,Security Alert,Disk space critical: > 95% utilized on /var/log.,Missing index on newly deployed database table causing full table scans.,Scaled up replicas from 3 to 10 to handle the load.,73
INC-1053,2025-09-06 22:41:54,Kubernetes Cluster,Deployment Failure,Pods are stuck in CrashLoopBackOff state.,Network partition between primary and secondary availability zones.,Renewed and deployed updated TLS certificates via Let's Encrypt.,9
INC-1193,2025-09-10 14:20:54,CI/CD Pipeline,Security Alert,Pods are stuck in CrashLoopBackOff state.,"Log rotation failed, filling up disk space.","Cleared old logs, freed 20GB, and fixed logrotate cron job.",198
INC-1331,2025-09-12 16:00:54,Kafka-Cluster,Network Timeout,Jenkins build pipeline failing on integration tests.,Network partition between primary and secondary availability zones.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",53
INC-1453,2025-09-12 20:56:54,Kubernetes Cluster,Security Alert,502 Bad Gateway errors observed from load balancer.,Misconfigured security group blocked inter-node traffic.,Cleared docker builder cache and expanded runner EBS volume.,34
INC-1086,2025-09-15 01:40:54,Auth-Service,Security Alert,502 Bad Gateway errors observed from load balancer.,Long-running queries locked database tables.,Cleared docker builder cache and expanded runner EBS volume.,102
INC-1295,2025-09-15 06:02:54,Analytics-Worker,Deployment Failure,High CPU utilization detected on primary nodes.,Upstream API dependency rate-limited our service requests.,Cleared docker builder cache and expanded runner EBS volume.,139
INC-1265,2025-09-16 18:06:54,CI/CD Pipeline,Service Outage,Disk space critical: > 95% utilized on /var/log.,CI/CD runner ran out of disk space during docker build.,Corrected the AWS security group rules to allow port 443.,59
INC-1270,2025-09-16 19:32:54,Kafka-Cluster,Database Error,Database replication lag exceeded 5 minutes.,Recent deployment introduced a memory leak.,Implemented exponential backoff and contacted vendor for quota increase.,95
INC-1416,2025-09-17 01:54:54,CI/CD Pipeline,Network Timeout,Memory leak causing OOM (Out of Memory) kills.,Deadlock in concurrent transaction processing.,Rolled back to the previous stable release and initiated RCA.,131
INC-1131,2025-09-17 06:06:54,CI/CD Pipeline,Network Timeout,High number of 5xx errors from backend services.,Network partition between primary and secondary availability zones.,Rolled back to the previous stable release and initiated RCA.,80
INC-1224,2025-09-17 20:51:54,Payment-Gateway,Database Error,Disk space critical: > 95% utilized on /var/log.,Surge in unexpected traffic overwhelmed the service capacity.,Killed the blocking database queries and added missing indexes.,134
INC-1129,2025-09-18 09:25:54,Kubernetes Cluster,Service Outage,Jenkins build pipeline failing on integration tests.,CI/CD runner ran out of disk space during docker build.,Cleared docker builder cache and expanded runner EBS volume.,21
INC-1264,2025-09-18 19:52:54,Redis-Cache,Resource Exhaustion,Memory leak causing OOM (Out of Memory) kills.,"Log rotation failed, filling up disk space.",Scaled up replicas from 3 to 10 to handle the load.,98
INC-1282,2025-09-19 00:10:54,Kubernetes Cluster,Database Error,DNS resolution failures in internal VPC.,Recent deployment introduced a memory leak.,Rolled back to the previous stable release and initiated RCA.,30
INC-1278,2025-09-19 00:58:54,Frontend-UI,Deployment Failure,Disk space critical: > 95% utilized on /var/log.,Memory limits set too low in Kubernetes deployment manifests.,"Cleared old logs, freed 20GB, and fixed logrotate cron job.",20
INC-1456,2025-09-19 23:28:54,Redis-Cache,Deployment Failure,Database replication lag exceeded 5 minutes.,Surge in unexpected traffic overwhelmed the service capacity.,Flushed Redis cache and restarted worker instances.,88
INC-1239,2025-09-20 14:37:54,Kafka-Cluster,Performance Degradation,DNS resolution failures in internal VPC.,Expired TLS certificate on internal load balancer.,Increased pod resource limits (memory) in Helm chart and redeployed.,172
INC-1146,2025-09-20 14:48:54,CI/CD Pipeline,Network Timeout,Disk space critical: > 95% utilized on /var/log.,Long-running queries locked database tables.,Corrected the AWS security group rules to allow port 443.,64
INC-1301,2025-09-22 19:17:54,Auth-Service,Resource Exhaustion,SSL Certificate expiration warning.,Long-running queries locked database tables.,Restarted kubelet service on affected worker nodes.,212
INC-1328,2025-09-24 05:20:54,User-API,Performance Degradation,Connections refused by the primary database.,Memory limits set too low in Kubernetes deployment manifests.,Renewed and deployed updated TLS certificates via Let's Encrypt.,205
INC-1442,2025-09-25 21:57:54,Inventory-DB,Resource Exhaustion,Pods are stuck in CrashLoopBackOff state.,"Log rotation failed, filling up disk space.",Killed the blocking database queries and added missing indexes.,5
INC-1178,2025-09-27 02:35:54,Kafka-Cluster,Resource Exhaustion,Pods are stuck in CrashLoopBackOff state.,Expired TLS certificate on internal load balancer.,Cleared docker builder cache and expanded runner EBS volume.,173
INC-1245,2025-09-27 04:47:54,Frontend-UI,Performance Degradation,SSL Certificate expiration warning.,"Log rotation failed, filling up disk space.",Scaled up replicas from 3 to 10 to handle the load.,81
INC-1300,2025-09-27 11:06:54,CI/CD Pipeline,Service Outage,Database replication lag exceeded 5 minutes.,Memory limits set too low in Kubernetes deployment manifests.,Rebooted unresponsive nodes and cordoned them for investigation.,142
